Dataset;Layer config;lr;Alpha;Beta;Accuracy;Precision;Recall;F1;Loss
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.65;0.5;0.818;0.818;0.817;0.813;1.041
FASHION MNIST;[784, 10, 10, 10];0.001;0.6;0.4;0.808;0.812;0.809;0.802;0.93
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.4;0.808;0.809;0.808;0.803;1.023
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.6;0.5;0.806;0.808;0.806;0.801;1.062
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.5;0.805;0.805;0.805;0.796;1.05
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.8;0.6;0.802;0.8;0.802;0.796;1.062
FASHION MNIST;[784, 100, 10];0.001;0.45;0.4;0.802;0.806;0.802;0.785;0.643
FASHION MNIST;[784, 100, 10];0.001;0.6;0.5;0.802;0.81;0.802;0.796;0.638
FASHION MNIST;[784, 10, 10, 10];0.001;0.75;0.6;0.802;0.802;0.802;0.796;0.985
FASHION MNIST;[784, 10, 10, 10];0.001;0.75;0.4;0.8;0.807;0.8;0.797;0.945
FASHION MNIST;[784, 100, 10];0.001;0.75;0.4;0.8;0.811;0.8;0.795;0.632
FASHION MNIST;[784, 100, 10];0.001;0.5;0.4;0.795;0.795;0.795;0.778;0.638
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.7;0.793;0.795;0.793;0.788;1.12
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.5;0.793;0.798;0.793;0.788;1.012
FASHION MNIST;[784, 100, 10];0.001;0.55;0.5;0.793;0.795;0.793;0.781;0.634
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.85;0.4;0.788;0.785;0.788;0.775;1.051
FASHION MNIST;[784, 100, 10];0.001;0.65;0.6;0.787;0.8;0.787;0.782;0.642
FASHION MNIST;[784, 10, 10, 10];0.001;0.8;0.4;0.785;0.788;0.785;0.782;0.95
FASHION MNIST;[784, 10, 10, 10];0.001;0.7;0.6;0.785;0.788;0.785;0.777;0.988
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.85;0.6;0.784;0.78;0.784;0.772;1.078
FASHION MNIST;[784, 100, 10];0.001;0.55;0.4;0.783;0.784;0.783;0.765;0.637
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.7;0.782;0.794;0.782;0.775;1.129
FASHION MNIST;[784, 10, 10, 10];0.001;0.85;0.6;0.782;0.792;0.782;0.773;1.016
FASHION MNIST;[784, 100, 10];0.001;0.7;0.5;0.781;0.794;0.781;0.773;0.632
FASHION MNIST;[784, 100, 10];0.001;0.5;0.4;0.779;0.798;0.779;0.774;0.637
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.55;0.4;0.779;0.788;0.779;0.771;1.04
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.5;0.777;0.778;0.777;0.769;1.096
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.65;0.4;0.775;0.794;0.775;0.771;1.058
FASHION MNIST;[784, 100, 10];0.01;0.9;0.5;0.771;0.844;0.771;0.767;0.764
FASHION MNIST;[784, 10, 10, 10];0.001;0.9;0.6;0.771;0.771;0.771;0.761;1.026
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.8;0.77;0.776;0.77;0.766;1.176
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.7;0.768;0.788;0.768;0.763;1.12
FASHION MNIST;[784, 10, 10, 10];0.001;0.95;0.5;0.766;0.774;0.766;0.761;1.014
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.85;0.8;0.762;0.774;0.762;0.756;1.159
FASHION MNIST;[784, 100, 10];0.001;0.6;0.4;0.762;0.793;0.762;0.752;0.649
FASHION MNIST;[784, 10, 10, 10];0.001;0.95;0.7;0.76;0.76;0.76;0.746;1.069
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.8;0.5;0.76;0.775;0.76;0.743;1.061
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.4;0.759;0.779;0.759;0.749;1.095
FASHION MNIST;[784, 100, 10];0.001;0.8;0.4;0.755;0.778;0.755;0.743;0.63
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.4;0.755;0.771;0.755;0.747;1.0
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.85;0.4;0.755;0.752;0.755;0.741;1.025
FASHION MNIST;[784, 100, 10];0.001;0.8;0.7;0.754;0.773;0.754;0.745;0.663
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.7;0.752;0.764;0.752;0.738;1.084
FASHION MNIST;[784, 100, 10];0.001;0.75;0.7;0.751;0.771;0.75;0.743;0.664
FASHION MNIST;[784, 10, 10, 10];0.001;0.85;0.8;0.75;0.769;0.75;0.743;1.104
FASHION MNIST;[784, 100, 10];0.001;0.65;0.4;0.744;0.793;0.744;0.741;0.652
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.5;0.741;0.738;0.741;0.713;1.046
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.7;0.74;0.756;0.74;0.721;1.062
FASHION MNIST;[784, 100, 10];0.001;0.75;0.4;0.739;0.787;0.739;0.729;0.676
FASHION MNIST;[784, 10, 10, 10];0.001;0.8;0.5;0.737;0.759;0.737;0.721;0.921
FASHION MNIST;[784, 10, 10, 10];0.001;0.6;0.4;0.736;0.748;0.736;0.709;0.983
FASHION MNIST;[784, 10, 10, 10];0.001;0.8;0.4;0.731;0.755;0.731;0.705;0.922
FASHION MNIST;[784, 10, 10, 10];0.001;0.75;0.4;0.729;0.74;0.729;0.703;0.926
FASHION MNIST;[784, 100, 10];0.001;0.85;0.7;0.729;0.76;0.729;0.716;0.671
FASHION MNIST;[784, 100, 10];0.001;0.9;0.8;0.725;0.79;0.725;0.718;0.762
FASHION MNIST;[784, 10, 10, 10];0.001;0.85;0.7;0.717;0.772;0.717;0.695;1.043
FASHION MNIST;[784, 10, 10, 10];0.001;0.95;0.4;0.715;0.749;0.715;0.68;0.923
FASHION MNIST;[784, 100, 10];0.001;0.6;0.5;0.714;0.753;0.714;0.706;0.663
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.6;0.71;0.71;0.71;0.673;1.041
FASHION MNIST;[784, 100, 10];0.001;0.95;0.4;0.709;0.78;0.709;0.697;0.733
FASHION MNIST;[784, 100, 10];0.001;0.85;0.6;0.705;0.771;0.705;0.693;0.714
FASHION MNIST;[784, 100, 10];0.001;0.95;0.7;0.703;0.77;0.703;0.695;0.753
FASHION MNIST;[784, 100, 10];0.001;0.65;0.5;0.702;0.768;0.702;0.688;0.668
FASHION MNIST;[784, 100, 10];0.001;0.8;0.4;0.699;0.77;0.699;0.685;0.68
FASHION MNIST;[784, 10, 10, 10];0.001;0.95;0.5;0.698;0.721;0.698;0.688;0.92
FASHION MNIST;[784, 100, 10];0.001;0.75;0.6;0.698;0.762;0.698;0.691;0.689
FASHION MNIST;[784, 100, 10];0.001;0.9;0.8;0.696;0.75;0.696;0.678;0.711
FASHION MNIST;[784, 100, 10];0.001;0.9;0.7;0.694;0.759;0.694;0.679;0.745
FASHION MNIST;[784, 10, 10, 10];0.001;0.5;0.4;0.692;0.659;0.692;0.64;1.108
FASHION MNIST;[784, 100, 10];0.001;0.8;0.6;0.686;0.767;0.686;0.68;0.706
FASHION MNIST;[784, 10, 10, 10];0.001;0.55;0.4;0.681;0.689;0.681;0.629;1.047
FASHION MNIST;[784, 100, 10];0.001;0.95;0.6;0.681;0.778;0.681;0.677;0.752
FASHION MNIST;[784, 10, 10, 10];0.001;0.9;0.4;0.68;0.7;0.68;0.648;0.934
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.65;0.6;0.679;0.724;0.679;0.622;1.131
FASHION MNIST;[784, 100, 10];0.001;0.9;0.6;0.676;0.761;0.677;0.665;0.729
FASHION MNIST;[784, 10, 10, 10];0.001;0.7;0.6;0.666;0.697;0.667;0.632;0.959
FASHION MNIST;[784, 100, 10];0.001;0.95;0.5;0.665;0.798;0.665;0.665;0.747
FASHION MNIST;[784, 10, 10, 10];0.001;0.85;0.6;0.661;0.684;0.661;0.626;0.93
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.6;0.654;0.711;0.655;0.614;1.031
FASHION MNIST;[784, 10, 10, 10];0.001;0.9;0.8;0.651;0.668;0.651;0.617;1.028
FASHION MNIST;[784, 10, 10, 10];0.001;0.95;0.6;0.65;0.693;0.65;0.622;0.952
FASHION MNIST;[784, 10, 10, 10];0.001;0.9;0.7;0.647;0.674;0.647;0.626;0.967
FASHION MNIST;[784, 10, 10, 10];0.001;0.65;0.5;0.646;0.673;0.646;0.597;0.987
FASHION MNIST;[784, 10, 10, 10];0.001;0.65;0.6;0.641;0.647;0.641;0.599;1.003
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.55;0.5;0.588;0.536;0.588;0.532;1.263
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.45;0.4;0.583;0.515;0.583;0.506;1.347
