Dataset;Layer config;lr;Alpha;Beta;Accuracy;Precision;Recall;F1;Loss
MNIST;[784, 100, 10];0.001;0.6;0.4;0.942;0.942;0.941;0.941;0.415
MNIST;[784, 100, 10];0.001;0.45;0.4;0.928;0.93;0.927;0.927;0.433
MNIST;[784, 100, 10];0.001;0.75;0.4;0.927;0.93;0.926;0.925;0.426
MNIST;[784, 100, 10];0.001;0.8;0.4;0.925;0.928;0.924;0.923;0.432
MNIST;[784, 100, 10];0.001;0.55;0.4;0.923;0.926;0.921;0.922;0.416
MNIST;[784, 100, 10];0.001;0.7;0.5;0.922;0.924;0.921;0.921;0.41
MNIST;[784, 100, 10];0.001;0.6;0.5;0.922;0.925;0.921;0.92;0.432
MNIST;[784, 100, 10];0.001;0.8;0.6;0.92;0.923;0.919;0.918;0.464
MNIST;[784, 100, 10];0.001;0.55;0.5;0.918;0.921;0.917;0.917;0.42
MNIST;[784, 100, 10];0.001;0.65;0.5;0.918;0.922;0.918;0.916;0.431
MNIST;[784, 100, 10];0.01;0.9;0.5;0.917;0.92;0.915;0.916;0.451
MNIST;[784, 100, 10];0.001;0.6;0.5;0.914;0.918;0.913;0.913;0.417
MNIST;[784, 100, 10];0.001;0.75;0.6;0.912;0.917;0.912;0.91;0.459
MNIST;[784, 100, 10];0.001;0.75;0.7;0.91;0.914;0.909;0.909;0.445
MNIST;[784, 100, 10];0.001;0.85;0.6;0.91;0.914;0.908;0.907;0.472
MNIST;[784, 100, 10];0.001;0.65;0.6;0.909;0.913;0.907;0.907;0.425
MNIST;[784, 100, 10];0.001;0.9;0.8;0.908;0.911;0.906;0.906;0.555
MNIST;[784, 100, 10];0.001;0.8;0.7;0.907;0.91;0.906;0.905;0.45
MNIST;[784, 100, 10];0.001;0.8;0.4;0.905;0.91;0.904;0.903;0.398
MNIST;[784, 100, 10];0.001;0.9;0.7;0.902;0.907;0.901;0.9;0.515
MNIST;[784, 20, 10, 10, 10];0.001;0.6;0.5;0.902;0.901;0.9;0.9;0.932
MNIST;[784, 20, 10, 10, 10];0.001;0.65;0.5;0.901;0.901;0.901;0.9;0.93
