neuron type,lr,accuracy,precision,recall,F1,loss
RS,0.1,0.745,0.783,0.745,0.729,0.95
IB,0.1,0.742,0.761,0.742,0.706,1.151
RS,0.001,0.737,0.723,0.737,0.715,1.065
CH,0.1,0.734,0.795,0.734,0.73,0.979
RZ,0.0001,0.704,0.703,0.704,0.69,1.324
FS,0.001,0.693,0.744,0.693,0.665,0.803
RZ,0.001,0.689,0.68,0.689,0.667,1.123
FS,0.1,0.689,0.692,0.689,0.669,1.126
FS,0.0001,0.686,0.685,0.686,0.662,1.117
RZ,0.1,0.681,0.718,0.681,0.662,1.236
IB,0.001,0.681,0.683,0.681,0.66,1.059
RS,0.01,0.622,0.781,0.622,0.594,0.688
CH,0.001,0.568,0.695,0.568,0.529,0.935
CH,0.01,0.505,0.784,0.505,0.5,0.677
FS,0.01,0.505,0.604,0.504,0.477,0.829
RZ,1e-05,0.483,0.538,0.483,0.47,2.302
RS,0.0001,0.456,0.589,0.456,0.396,1.274
RZ,0.01,0.451,0.662,0.451,0.439,0.847
IB,0.0001,0.411,0.617,0.411,0.343,1.387
FS,1e-05,0.2,0.471,0.2,0.159,2.618
IB,0.01,0.151,0.451,0.151,0.094,0.787
CH,0.0001,0.145,0.412,0.145,0.088,2.393
CH,1e-05,0.1,0.01,0.1,0.018,3.001
IB,1e-05,0.1,0.01,0.1,0.018,2.625
RS,1e-05,0.1,0.01,0.1,0.018,2.62
