neuron type,lr,accuracy,precision,recall,F1,loss
RS,0.01,0.899,0.901,0.897,0.898,0.769
FS,0.001,0.871,0.88,0.869,0.867,0.577
CH,0.1,0.859,0.871,0.858,0.858,0.893
RZ,0.001,0.849,0.85,0.846,0.845,1.033
IB,0.1,0.849,0.854,0.847,0.846,0.87
RZ,0.0001,0.82,0.833,0.816,0.816,1.27
IB,0.001,0.82,0.857,0.815,0.818,1.081
RS,0.001,0.817,0.849,0.812,0.816,1.01
RS,0.1,0.811,0.849,0.808,0.804,0.764
IB,0.01,0.807,0.826,0.804,0.799,0.593
RZ,0.1,0.793,0.819,0.79,0.79,1.143
FS,0.01,0.787,0.883,0.783,0.794,0.552
FS,0.0001,0.768,0.802,0.763,0.766,1.096
FS,0.1,0.753,0.814,0.744,0.728,0.963
RZ,0.01,0.711,0.785,0.706,0.707,0.854
CH,0.01,0.674,0.839,0.668,0.647,0.512
IB,0.0001,0.545,0.724,0.535,0.514,1.302
RS,0.0001,0.489,0.715,0.479,0.451,1.316
CH,0.001,0.398,0.551,0.385,0.305,1.649
RZ,1e-05,0.234,0.317,0.236,0.217,2.684
CH,0.0001,0.121,0.283,0.108,0.034,2.393
FS,1e-05,0.098,0.01,0.1,0.018,2.988
CH,1e-05,0.098,0.01,0.1,0.018,3.002
IB,1e-05,0.098,0.01,0.1,0.018,2.97
RS,1e-05,0.098,0.01,0.1,0.018,2.969
