Dataset;Layer config;lr;Accuracy;Precision;Recall;F1;Loss
MNIST;[784, 20, 10, 10, 10];0.01;0.95;0.951;0.95;0.949;0.185
MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.95;0.949;0.949;0.181
MNIST;[784, 10, 10, 10];0.01;0.933;0.933;0.932;0.932;0.238
MNIST;[784, 20, 10, 10, 10];0.0001;0.901;0.9;0.9;0.9;0.341
MNIST;[784, 100, 10];0.001;0.879;0.822;0.877;0.842;0.526
MNIST;[784, 100, 10];0.01;0.879;0.826;0.877;0.843;0.542
MNIST;[784, 100, 10];0.0001;0.84;0.766;0.838;0.798;0.634
MNIST;[784, 10, 10, 10];0.0001;0.799;0.726;0.798;0.758;0.657
MNIST;[784, 10, 10, 10];0.001;0.757;0.661;0.755;0.693;0.666
MNIST;[784, 10, 10, 10];0.1;0.098;0.01;0.1;0.018;2.303
MNIST;[784, 100, 10];0.1;0.098;0.01;0.1;0.018;2.303
MNIST;[784, 20, 10, 10, 10];0.1;0.098;0.01;0.1;0.018;2.303
