Dataset;Layer config;lr;Alpha;Beta;Accuracy;Precision;Recall;F1;Loss
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.5;0.7;0.827;0.828;0.827;0.822;0.538
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.65;0.4;0.826;0.827;0.826;0.822;0.563
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.55;0.4;0.825;0.826;0.825;0.822;0.521
FASHION MNIST;[784, 10, 10, 10];0.001;0.45;0.5;0.822;0.824;0.822;0.816;0.535
FASHION MNIST;[784, 10, 10, 10];0.001;0.5;0.4;0.82;0.818;0.82;0.814;0.568
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.45;0.8;0.817;0.819;0.817;0.814;0.564
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.7;0.8;0.814;0.815;0.814;0.813;0.584
FASHION MNIST;[784, 10, 10, 10];0.001;0.6;0.4;0.813;0.812;0.813;0.806;0.567
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.5;0.5;0.811;0.81;0.811;0.809;0.559
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.6;0.8;0.809;0.807;0.809;0.807;0.607
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.55;0.7;0.808;0.812;0.808;0.8;0.539
FASHION MNIST;[784, 10, 10, 10];0.001;0.55;0.6;0.807;0.813;0.807;0.8;0.562
FASHION MNIST;[784, 10, 10, 10];0.001;0.95;0.4;0.807;0.805;0.807;0.8;0.625
FASHION MNIST;[784, 10, 10, 10];0.001;0.7;0.6;0.805;0.808;0.805;0.8;0.588
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.65;0.5;0.805;0.814;0.805;0.799;0.585
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.65;0.6;0.802;0.806;0.802;0.8;0.569
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.85;0.6;0.802;0.804;0.802;0.796;0.727
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.5;0.8;0.799;0.805;0.799;0.796;0.557
FASHION MNIST;[784, 10, 10, 10];0.001;0.65;0.5;0.799;0.803;0.799;0.793;0.581
FASHION MNIST;[784, 10, 10, 10];0.001;0.65;0.6;0.797;0.797;0.797;0.795;0.574
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.6;0.8;0.794;0.798;0.794;0.793;0.72
FASHION MNIST;[784, 10, 10, 10];0.001;0.45;0.6;0.794;0.792;0.794;0.788;0.56
FASHION MNIST;[784, 10, 10, 10];0.001;0.6;0.4;0.793;0.792;0.793;0.779;0.58
FASHION MNIST;[784, 10, 10, 10];0.001;0.9;0.4;0.793;0.794;0.793;0.791;0.615
FASHION MNIST;[784, 100, 10];0.001;0.55;0.4;0.793;0.803;0.793;0.786;0.393
FASHION MNIST;[784, 10, 10, 10];0.001;0.65;0.7;0.792;0.794;0.792;0.789;0.597
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.55;0.5;0.79;0.798;0.79;0.782;0.555
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.45;0.4;0.79;0.782;0.79;0.772;0.555
FASHION MNIST;[784, 10, 10, 10];0.001;0.45;0.6;0.789;0.789;0.789;0.784;0.568
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.5;0.787;0.793;0.787;0.784;0.648
FASHION MNIST;[784, 10, 10, 10];0.001;0.6;0.7;0.787;0.795;0.787;0.779;0.581
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.7;0.786;0.797;0.786;0.786;0.724
FASHION MNIST;[784, 10, 10, 10];0.001;0.8;0.5;0.785;0.79;0.785;0.775;0.611
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.55;0.8;0.783;0.781;0.783;0.778;0.583
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.8;0.6;0.783;0.795;0.783;0.778;0.724
FASHION MNIST;[784, 10, 10, 10];0.001;0.45;0.5;0.783;0.787;0.783;0.768;0.557
FASHION MNIST;[784, 10, 10, 10];0.001;0.5;0.5;0.782;0.785;0.782;0.781;0.572
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.5;0.779;0.777;0.779;0.762;0.581
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.6;0.5;0.779;0.774;0.779;0.768;0.58
FASHION MNIST;[784, 10, 10, 10];0.001;0.55;0.4;0.779;0.779;0.779;0.77;0.568
FASHION MNIST;[784, 10, 10, 10];0.001;0.95;0.6;0.777;0.779;0.777;0.763;0.68
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.45;0.7;0.776;0.787;0.776;0.775;0.62
FASHION MNIST;[784, 100, 10];0.001;0.45;0.8;0.776;0.803;0.776;0.771;0.415
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.6;0.776;0.79;0.775;0.765;0.635
FASHION MNIST;[784, 100, 10];0.001;0.6;0.8;0.775;0.792;0.775;0.767;0.446
FASHION MNIST;[784, 10, 10, 10];0.001;0.85;0.6;0.774;0.776;0.774;0.756;0.635
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.6;0.7;0.774;0.782;0.774;0.761;0.649
FASHION MNIST;[784, 10, 10, 10];0.001;0.9;0.7;0.773;0.782;0.773;0.756;0.656
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.8;0.5;0.771;0.788;0.771;0.769;0.643
FASHION MNIST;[784, 10, 10, 10];0.001;0.65;0.8;0.771;0.782;0.771;0.764;0.76
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.4;0.769;0.778;0.769;0.762;0.624
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.4;0.769;0.779;0.768;0.767;0.675
FASHION MNIST;[784, 10, 10, 10];0.001;0.85;0.6;0.767;0.785;0.767;0.759;0.704
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.6;0.766;0.786;0.766;0.759;0.664
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.6;0.6;0.766;0.771;0.766;0.758;0.619
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.85;0.4;0.766;0.774;0.766;0.755;0.658
FASHION MNIST;[784, 10, 10, 10];0.001;0.8;0.4;0.765;0.768;0.765;0.762;0.592
FASHION MNIST;[784, 100, 10];0.001;0.45;0.4;0.764;0.787;0.764;0.75;0.384
FASHION MNIST;[784, 10, 10, 10];0.001;0.55;0.7;0.764;0.762;0.764;0.75;0.576
FASHION MNIST;[784, 10, 10, 10];0.001;0.45;0.7;0.764;0.777;0.764;0.758;0.598
FASHION MNIST;[784, 100, 10];0.001;0.5;0.7;0.761;0.789;0.761;0.754;0.404
FASHION MNIST;[784, 10, 10, 10];0.001;0.7;0.8;0.76;0.76;0.76;0.743;0.626
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.5;0.759;0.765;0.759;0.754;0.6
FASHION MNIST;[784, 100, 10];0.001;0.5;0.6;0.758;0.787;0.758;0.749;0.397
FASHION MNIST;[784, 100, 10];0.001;0.5;0.4;0.757;0.783;0.757;0.745;0.388
