Dataset;Layer config;lr;Alpha;Beta;Accuracy;Precision;Recall;F1;Loss
MNIST;[784, 20, 10, 10, 10];0.001;0.55;0.5;0.923;0.922;0.922;0.922;0.342
MNIST;[784, 20, 10, 10, 10];0.001;0.55;0.4;0.919;0.919;0.917;0.917;0.347
MNIST;[784, 20, 10, 10, 10];0.001;0.5;0.7;0.908;0.908;0.907;0.907;0.35
MNIST;[784, 20, 10, 10, 10];0.001;0.65;0.4;0.907;0.906;0.906;0.906;0.383
MNIST;[784, 20, 10, 10, 10];0.001;0.65;0.6;0.907;0.906;0.906;0.905;0.377
MNIST;[784, 20, 10, 10, 10];0.001;0.5;0.5;0.906;0.906;0.905;0.905;0.341
MNIST;[784, 20, 10, 10, 10];0.001;0.5;0.8;0.904;0.905;0.903;0.903;0.344
MNIST;[784, 20, 10, 10, 10];0.001;0.55;0.7;0.901;0.9;0.9;0.9;0.348
MNIST;[784, 20, 10, 10, 10];0.001;0.45;0.8;0.899;0.899;0.898;0.897;0.338
MNIST;[784, 10, 10, 10];0.001;0.5;0.7;0.897;0.898;0.894;0.894;0.436
MNIST;[784, 10, 10, 10];0.001;0.9;0.4;0.896;0.896;0.893;0.894;0.436
MNIST;[784, 10, 10, 10];0.001;0.55;0.6;0.895;0.895;0.893;0.894;0.396
MNIST;[784, 10, 10, 10];0.001;0.45;0.6;0.894;0.893;0.892;0.892;0.421
MNIST;[784, 10, 10, 10];0.001;0.45;0.5;0.894;0.896;0.89;0.891;0.338
MNIST;[784, 20, 10, 10, 10];0.001;0.45;0.7;0.892;0.898;0.889;0.89;0.401
MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.7;0.892;0.892;0.891;0.89;0.391
MNIST;[784, 10, 10, 10];0.001;0.45;0.5;0.892;0.892;0.889;0.889;0.429
MNIST;[784, 20, 10, 10, 10];0.001;0.55;0.8;0.891;0.895;0.891;0.891;0.349
MNIST;[784, 10, 10, 10];0.001;0.55;0.7;0.891;0.891;0.888;0.889;0.395
MNIST;[784, 10, 10, 10];0.001;0.5;0.4;0.89;0.889;0.887;0.887;0.444
MNIST;[784, 10, 10, 10];0.001;0.6;0.4;0.889;0.887;0.887;0.887;0.446
MNIST;[784, 10, 10, 10];0.001;0.55;0.4;0.889;0.889;0.887;0.886;0.444
MNIST;[784, 20, 10, 10, 10];0.001;0.65;0.8;0.889;0.889;0.888;0.887;0.38
MNIST;[784, 10, 10, 10];0.001;0.5;0.5;0.889;0.888;0.887;0.886;0.434
MNIST;[784, 10, 10, 10];0.001;0.85;0.6;0.888;0.887;0.886;0.886;0.436
MNIST;[784, 10, 10, 10];0.001;0.6;0.7;0.885;0.886;0.882;0.882;0.401
MNIST;[784, 10, 10, 10];0.001;0.8;0.4;0.884;0.884;0.881;0.882;0.453
MNIST;[784, 20, 10, 10, 10];0.001;0.6;0.5;0.882;0.884;0.878;0.876;0.39
MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.5;0.882;0.885;0.881;0.88;0.409
MNIST;[784, 10, 10, 10];0.001;0.6;0.4;0.881;0.881;0.877;0.877;0.367
MNIST;[784, 10, 10, 10];0.001;0.45;0.6;0.881;0.883;0.876;0.875;0.36
MNIST;[784, 10, 10, 10];0.001;0.8;0.4;0.88;0.885;0.876;0.877;0.459
MNIST;[784, 10, 10, 10];0.001;0.95;0.5;0.879;0.879;0.877;0.877;0.448
MNIST;[784, 10, 10, 10];0.001;0.65;0.7;0.878;0.88;0.875;0.875;0.414
MNIST;[784, 10, 10, 10];0.001;0.45;0.7;0.877;0.884;0.872;0.871;0.416
MNIST;[784, 10, 10, 10];0.001;0.7;0.7;0.877;0.877;0.874;0.874;0.433
MNIST;[784, 10, 10, 10];0.001;0.65;0.7;0.876;0.877;0.874;0.873;0.539
MNIST;[784, 10, 10, 10];0.001;0.8;0.5;0.872;0.873;0.868;0.868;0.432
MNIST;[784, 20, 10, 10, 10];0.001;0.6;0.6;0.871;0.876;0.866;0.865;0.424
MNIST;[784, 10, 10, 10];0.001;0.75;0.4;0.868;0.874;0.865;0.865;0.445
MNIST;[784, 100, 10];0.001;0.45;0.4;0.868;0.88;0.867;0.863;0.11
MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.5;0.867;0.873;0.863;0.862;0.464
MNIST;[784, 20, 10, 10, 10];0.001;0.65;0.5;0.866;0.876;0.86;0.857;0.404
MNIST;[784, 20, 10, 10, 10];0.001;0.85;0.4;0.866;0.866;0.861;0.861;0.455
MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.8;0.865;0.872;0.864;0.862;0.398
MNIST;[784, 10, 10, 10];0.001;0.7;0.8;0.865;0.867;0.862;0.862;0.431
MNIST;[784, 10, 10, 10];0.001;0.6;0.7;0.864;0.866;0.862;0.862;0.508
MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.4;0.864;0.871;0.86;0.861;0.378
MNIST;[784, 10, 10, 10];0.001;0.75;0.6;0.863;0.866;0.861;0.861;0.512
MNIST;[784, 20, 10, 10, 10];0.001;0.45;0.4;0.863;0.877;0.862;0.854;0.357
MNIST;[784, 10, 10, 10];0.001;0.95;0.4;0.863;0.865;0.859;0.859;0.458
MNIST;[784, 10, 10, 10];0.001;0.95;0.6;0.86;0.859;0.857;0.857;0.436
MNIST;[784, 10, 10, 10];0.001;0.9;0.7;0.859;0.862;0.854;0.853;0.479
MNIST;[784, 20, 10, 10, 10];0.001;0.8;0.5;0.855;0.862;0.848;0.842;0.476
MNIST;[784, 100, 10];0.001;0.6;0.8;0.855;0.862;0.853;0.848;0.214
MNIST;[784, 10, 10, 10];0.001;0.65;0.8;0.854;0.855;0.85;0.85;0.451
MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.5;0.853;0.867;0.852;0.843;0.382
MNIST;[784, 20, 10, 10, 10];0.001;0.7;0.8;0.852;0.859;0.852;0.852;0.413
MNIST;[784, 100, 10];0.001;0.45;0.8;0.85;0.864;0.847;0.846;0.171
MNIST;[784, 100, 10];0.001;0.55;0.5;0.848;0.863;0.847;0.841;0.111
MNIST;[784, 100, 10];0.001;0.6;0.4;0.845;0.859;0.843;0.84;0.121
MNIST;[784, 10, 10, 10];0.001;0.7;0.6;0.844;0.856;0.84;0.838;0.482
MNIST;[784, 100, 10];0.001;0.5;0.8;0.844;0.857;0.842;0.838;0.186
MNIST;[784, 10, 10, 10];0.001;0.9;0.8;0.84;0.84;0.835;0.834;0.432
MNIST;[784, 20, 10, 10, 10];0.001;0.85;0.4;0.84;0.846;0.837;0.836;0.368
MNIST;[784, 100, 10];0.001;0.55;0.4;0.837;0.857;0.835;0.831;0.117
MNIST;[784, 100, 10];0.001;0.85;0.6;0.836;0.846;0.834;0.829;0.22
MNIST;[784, 100, 10];0.001;0.5;0.6;0.834;0.848;0.832;0.829;0.125
MNIST;[784, 100, 10];0.001;0.55;0.6;0.833;0.854;0.832;0.825;0.116
MNIST;[784, 100, 10];0.001;0.7;0.7;0.832;0.844;0.83;0.826;0.204
MNIST;[784, 100, 10];0.001;0.55;0.8;0.832;0.848;0.829;0.825;0.206
MNIST;[784, 10, 10, 10];0.001;0.7;0.7;0.829;0.836;0.825;0.826;0.55
MNIST;[784, 100, 10];0.001;0.65;0.7;0.826;0.839;0.824;0.813;0.191
MNIST;[784, 100, 10];0.001;0.65;0.5;0.823;0.842;0.822;0.812;0.131
MNIST;[784, 100, 10];0.001;0.7;0.8;0.823;0.835;0.821;0.814;0.236
MNIST;[784, 20, 10, 10, 10];0.001;0.55;0.8;0.823;0.826;0.819;0.815;0.523
MNIST;[784, 100, 10];0.001;0.6;0.5;0.823;0.839;0.821;0.816;0.134
MNIST;[784, 100, 10];0.001;0.6;0.5;0.822;0.847;0.821;0.815;0.12
MNIST;[784, 100, 10];0.001;0.75;0.8;0.822;0.836;0.82;0.809;0.262
MNIST;[784, 100, 10];0.001;0.5;0.7;0.822;0.845;0.82;0.812;0.116
MNIST;[784, 10, 10, 10];0.001;0.85;0.6;0.82;0.837;0.816;0.814;0.557
MNIST;[784, 100, 10];0.001;0.9;0.8;0.82;0.836;0.818;0.811;0.323
MNIST;[784, 100, 10];0.001;0.95;0.7;0.82;0.834;0.818;0.814;0.292
MNIST;[784, 20, 10, 10, 10];0.001;0.6;0.8;0.819;0.83;0.814;0.809;0.532
MNIST;[784, 100, 10];0.001;0.8;0.8;0.818;0.835;0.815;0.812;0.27
MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.6;0.817;0.834;0.815;0.814;0.435
MNIST;[784, 100, 10];0.001;0.45;0.8;0.817;0.845;0.816;0.806;0.132
MNIST;[784, 100, 10];0.001;0.75;0.6;0.808;0.827;0.806;0.796;0.195
MNIST;[784, 100, 10];0.001;0.95;0.6;0.807;0.822;0.805;0.794;0.266
MNIST;[784, 100, 10];0.001;0.8;0.6;0.805;0.825;0.804;0.796;0.215
MNIST;[784, 100, 10];0.001;0.9;0.6;0.804;0.823;0.803;0.794;0.239
MNIST;[784, 100, 10];0.001;0.65;0.6;0.803;0.831;0.801;0.791;0.125
MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.4;0.8;0.813;0.798;0.789;0.507
MNIST;[784, 100, 10];0.001;0.75;0.4;0.797;0.821;0.794;0.785;0.16
MNIST;[784, 100, 10];0.001;0.6;0.6;0.794;0.831;0.791;0.782;0.127
MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.7;0.793;0.815;0.788;0.785;0.401
MNIST;[784, 100, 10];0.001;0.9;0.7;0.793;0.82;0.792;0.778;0.279
MNIST;[784, 100, 10];0.01;0.9;0.8;0.789;0.814;0.786;0.776;0.471
MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.7;0.787;0.8;0.781;0.763;0.627
MNIST;[784, 100, 10];0.001;0.7;0.5;0.785;0.823;0.782;0.767;0.129
MNIST;[784, 10, 10, 10];0.001;0.65;0.8;0.783;0.803;0.781;0.78;0.617
MNIST;[784, 100, 10];0.001;0.95;0.4;0.781;0.811;0.78;0.763;0.229
MNIST;[784, 100, 10];0.001;0.8;0.4;0.78;0.806;0.778;0.768;0.161
MNIST;[784, 10, 10, 10];0.001;0.85;0.7;0.78;0.799;0.777;0.767;0.634
MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.6;0.775;0.788;0.77;0.763;0.419
MNIST;[784, 100, 10];0.001;0.7;0.7;0.77;0.812;0.767;0.748;0.153
MNIST;[784, 100, 10];0.001;0.8;0.4;0.765;0.81;0.763;0.75;0.137
MNIST;[784, 100, 10];0.001;0.8;0.7;0.765;0.808;0.762;0.739;0.179
MNIST;[784, 100, 10];0.001;0.85;0.7;0.764;0.803;0.762;0.742;0.176
MNIST;[784, 10, 10, 10];0.001;0.9;0.6;0.763;0.787;0.761;0.76;0.577
MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.5;0.761;0.774;0.754;0.746;0.55
MNIST;[784, 100, 10];0.001;0.75;0.8;0.757;0.798;0.754;0.737;0.174
MNIST;[784, 100, 10];0.001;0.6;0.8;0.752;0.789;0.75;0.733;0.15
MNIST;[784, 100, 10];0.001;0.75;0.7;0.729;0.784;0.726;0.705;0.159
MNIST;[784, 100, 10];0.001;0.9;0.8;0.727;0.776;0.724;0.705;0.229
MNIST;[784, 10, 10, 10];0.001;0.85;0.8;0.713;0.758;0.711;0.674;0.695
MNIST;[784, 10, 10, 10];0.001;0.95;0.5;0.694;0.741;0.689;0.686;0.526
MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.7;0.688;0.707;0.68;0.652;0.672
MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.8;0.68;0.71;0.669;0.655;0.717
MNIST;[784, 20, 10, 10, 10];0.001;0.8;0.8;0.677;0.719;0.672;0.657;0.625
MNIST;[784, 10, 10, 10];0.001;0.95;0.7;0.652;0.714;0.648;0.635;0.682
MNIST;[784, 20, 10, 10, 10];0.001;0.85;0.8;0.648;0.649;0.639;0.62;0.645
